iter,tiempo_ms,gflops
0,39.574528,108.528580
1,40.015518,107.332542
2,38.091839,112.752953
3,35.170719,122.117699
4,35.152386,122.181389
5,34.963745,122.840596
6,35.126591,122.271112
7,35.540417,120.847410
8,35.747231,120.148253
9,35.543968,120.835335
10,36.142368,118.834694
11,35.760960,120.102126
12,35.933056,119.526914
13,35.724289,120.225410
14,35.768543,120.076663
15,35.756191,120.118143
16,35.561440,120.775968
17,35.338047,121.539464
18,35.139935,122.224681
19,35.589825,120.679642
20,35.116222,122.307213
21,35.402592,121.317878
22,35.317535,121.610051
23,35.739616,120.173850
24,35.158913,122.158707
25,35.439137,121.192775
26,35.139198,122.227242
27,35.185249,122.067269
28,35.181854,122.079049
29,35.442242,121.182157
30,35.373920,121.416208
31,35.343742,121.519879
32,35.127968,122.266318
33,35.391647,121.355394
34,35.111649,122.323146
35,35.391998,121.354190
36,35.370655,121.427417
37,35.132320,122.251171
38,34.955585,122.869271
39,35.647263,120.485193
40,35.346657,121.509859
41,35.341248,121.528457
42,35.332066,121.560040
43,35.131424,122.254290
44,35.382626,121.386337
45,35.546658,120.826193
46,35.897182,119.646362
47,35.324898,121.584706
48,35.132866,122.249272
49,35.429409,121.226050
50,35.132191,122.251622
51,35.384289,121.380631
52,35.159039,122.158269
53,35.177055,122.095703
54,35.377567,121.403692
55,35.124447,122.278575
56,35.372639,121.420608
57,35.311489,121.630874
58,35.352512,121.489733
59,35.341217,121.528562
60,35.356895,121.474673
61,35.112415,122.320474
62,35.436096,121.203173
63,35.320000,121.601567
