iter,tiempo_ms,gflops
0,4.749312,904.334641
1,4.754080,903.427679
2,4.810784,892.779102
3,4.847040,886.101031
4,4.836416,888.047575
5,4.829792,889.265475
6,5.061856,848.496574
7,5.041568,851.911045
8,4.755008,903.251287
9,4.830016,889.224213
10,4.846912,886.124481
11,4.812928,892.381336
12,4.802912,894.242303
13,5.083552,844.875275
14,5.021472,855.320375
15,5.001664,858.707654
16,4.991104,860.524483
17,4.986560,861.308680
18,5.425984,791.555480
19,5.044384,851.435437
20,5.109280,840.620832
21,4.825792,890.002603
22,4.804384,893.968319
23,4.822048,890.693566
24,4.811808,892.589064
25,4.818304,891.385691
26,4.807392,893.408981
27,5.072960,846.639315
28,4.747776,904.627191
29,5.016032,856.247948
30,4.810144,892.897872
31,4.821696,890.758660
32,4.814144,892.155942
33,5.051008,850.318809
34,4.979904,862.459828
35,4.993824,860.055799
36,4.744416,905.267810
37,4.830464,889.141788
38,4.748544,904.480847
39,4.812832,892.399195
40,4.817408,891.551478
41,5.016640,856.144179
42,4.748160,904.554059
43,4.819136,891.231783
44,4.853600,884.903427
45,5.030784,853.737148
46,5.060704,848.689649
47,4.799232,894.928041
48,4.826752,889.825525
49,4.810080,892.909733
50,4.819168,891.225874
51,4.815776,891.853652
52,4.819680,891.131176
53,4.818784,891.296868
54,4.832800,888.712004
55,4.828896,889.430473
56,5.070560,847.040034
57,5.009728,857.325455
58,5.016256,856.209775
59,5.015776,856.291661
60,5.022112,855.211391
61,4.830528,889.130027
62,4.826400,889.890492
63,4.833472,888.588471
