iter,tiempo_ms,gflops,gbps_estimado,flops,bytes_leidos,bytes_escritos,bytes_totales,intensidad_ops_byte
0,4.763936,901.558555,3606.674435,4294967296,17179869184,2097152,17181966336,0.249969
1,5.177408,829.559331,3318.642381,4294967296,17179869184,2097152,17181966336,0.249969
2,4.750080,904.188392,3617.195067,4294967296,17179869184,2097152,17181966336,0.249969
3,4.735808,906.913327,3628.096138,4294967296,17179869184,2097152,17181966336,0.249969
4,4.807136,893.456570,3574.262539,4294967296,17179869184,2097152,17181966336,0.249969
5,4.774592,899.546467,3598.625100,4294967296,17179869184,2097152,17181966336,0.249969
6,4.737504,906.588636,3626.797216,4294967296,17179869184,2097152,17181966336,0.249969
7,4.743456,905.451089,3622.246469,4294967296,17179869184,2097152,17181966336,0.249969
8,4.804256,893.992187,3576.405269,4294967296,17179869184,2097152,17181966336,0.249969
9,4.783264,897.915556,3592.100658,4294967296,17179869184,2097152,17181966336,0.249969
10,4.804160,894.010023,3576.476619,4294967296,17179869184,2097152,17181966336,0.249969
11,5.458272,786.873082,3147.876544,4294967296,17179869184,2097152,17181966336,0.249969
12,5.194176,826.881325,3307.929051,4294967296,17179869184,2097152,17181966336,0.249969
13,4.808608,893.183068,3573.168397,4294967296,17179869184,2097152,17181966336,0.249969
14,4.817664,891.504091,3566.451669,4294967296,17179869184,2097152,17181966336,0.249969
15,5.198400,826.209464,3305.241280,4294967296,17179869184,2097152,17181966336,0.249969
16,5.397376,795.750981,3183.392475,4294967296,17179869184,2097152,17181966336,0.249969
17,5.184480,828.427757,3314.115534,4294967296,17179869184,2097152,17181966336,0.249969
18,5.402560,794.987397,3180.337764,4294967296,17179869184,2097152,17181966336,0.249969
19,4.755584,903.141972,3613.008874,4294967296,17179869184,2097152,17181966336,0.249969
20,4.823904,890.350899,3561.838337,4294967296,17179869184,2097152,17181966336,0.249969
21,4.744640,905.225140,3621.342566,4294967296,17179869184,2097152,17181966336,0.249969
22,6.992864,614.192871,2457.071382,4294967296,17179869184,2097152,17181966336,0.249969
23,5.901312,727.798731,2911.550296,4294967296,17179869184,2097152,17181966336,0.249969
24,4.816672,891.687753,3567.186405,4294967296,17179869184,2097152,17181966336,0.249969
25,4.734656,907.133998,3628.978928,4294967296,17179869184,2097152,17181966336,0.249969
26,4.736224,906.833616,3627.777255,4294967296,17179869184,2097152,17181966336,0.249969
27,4.795136,895.692493,3583.207322,4294967296,17179869184,2097152,17181966336,0.249969
28,4.736224,906.833616,3627.777255,4294967296,17179869184,2097152,17181966336,0.249969
29,4.742816,905.573255,3622.735194,4294967296,17179869184,2097152,17181966336,0.249969
30,4.837152,887.912410,3552.083193,4294967296,17179869184,2097152,17181966336,0.249969
31,5.260352,816.479047,3266.314858,4294967296,17179869184,2097152,17181966336,0.249969
32,4.988352,860.999274,3444.417505,4294967296,17179869184,2097152,17181966336,0.249969
33,5.646752,760.608468,3042.805262,4294967296,17179869184,2097152,17181966336,0.249969
34,4.808736,893.159332,3573.073440,4294967296,17179869184,2097152,17181966336,0.249969
35,4.810112,892.903803,3572.051199,4294967296,17179869184,2097152,17181966336,0.249969
36,4.809856,892.951338,3572.241364,4294967296,17179869184,2097152,17181966336,0.249969
37,4.799232,894.928041,3580.149139,4294967296,17179869184,2097152,17181966336,0.249969
38,4.812384,892.482225,3570.364683,4294967296,17179869184,2097152,17181966336,0.249969
39,4.814560,892.078892,3568.751155,4294967296,17179869184,2097152,17181966336,0.249969
40,5.451424,787.861520,3151.830779,4294967296,17179869184,2097152,17181966336,0.249969
41,4.802560,894.307917,3577.668340,4294967296,17179869184,2097152,17181966336,0.249969
42,4.811744,892.600917,3570.839507,4294967296,17179869184,2097152,17181966336,0.249969
43,5.436352,790.045875,3160.569265,4294967296,17179869184,2097152,17181966336,0.249969
44,4.861824,883.406570,3534.057631,4294967296,17179869184,2097152,17181966336,0.249969
45,5.177696,829.513186,3318.457781,4294967296,17179869184,2097152,17181966336,0.249969
46,5.542240,774.951497,3100.184383,4294967296,17179869184,2097152,17181966336,0.249969
47,4.819648,891.137171,3564.983810,4294967296,17179869184,2097152,17181966336,0.249969
48,4.802656,894.289981,3577.596587,4294967296,17179869184,2097152,17181966336,0.249969
49,4.821856,890.729063,3563.351178,4294967296,17179869184,2097152,17181966336,0.249969
50,4.820704,890.941927,3564.202738,4294967296,17179869184,2097152,17181966336,0.249969
51,4.808608,893.183068,3573.168397,4294967296,17179869184,2097152,17181966336,0.249969
52,4.807072,893.468446,3574.310049,4294967296,17179869184,2097152,17181966336,0.249969
53,5.336000,804.903921,3220.008704,4294967296,17179869184,2097152,17181966336,0.249969
54,4.754752,903.299931,3613.640787,4294967296,17179869184,2097152,17181966336,0.249969
55,5.452064,787.769048,3151.460845,4294967296,17179869184,2097152,17181966336,0.249969
56,5.548288,774.106787,3096.805130,4294967296,17179869184,2097152,17181966336,0.249969
57,4.801376,894.528447,3578.550569,4294967296,17179869184,2097152,17181966336,0.249969
58,4.811776,892.594990,3570.815799,4294967296,17179869184,2097152,17181966336,0.249969
59,4.767424,900.898934,3604.035628,4294967296,17179869184,2097152,17181966336,0.249969
60,5.563680,771.965168,3088.237606,4294967296,17179869184,2097152,17181966336,0.249969
61,4.818336,891.379781,3565.954367,4294967296,17179869184,2097152,17181966336,0.249969
62,4.800736,894.647683,3579.027573,4294967296,17179869184,2097152,17181966336,0.249969
63,4.821248,890.841385,3563.800523,4294967296,17179869184,2097152,17181966336,0.249969
