tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,0,4.749312,904.334641,3617.780136
iteracion,1,4.780640,898.408410,3594.072318
iteracion,2,4.742240,905.683251,3623.175231
iteracion,3,4.742176,905.695454,3623.224050
iteracion,4,4.743072,905.524366,3622.539615
iteracion,5,4.733472,907.360900,3629.886647
iteracion,6,4.768928,900.614824,3602.899048
iteracion,7,4.753440,903.549300,3614.638385
iteracion,8,4.752256,903.774412,3615.538944
iteracion,9,4.746048,904.956570,3620.268154
iteracion,10,4.838400,887.683407,3551.167067
iteracion,11,4.812416,892.476300,3570.340981
iteracion,12,4.818880,891.279140,3565.551756
iteracion,13,5.007808,857.654111,3431.035220
iteracion,14,5.549888,773.883580,3095.912192
iteracion,15,6.017536,713.741834,2855.315842
iteracion,16,4.812672,892.428816,3570.151019
iteracion,17,5.631904,762.613709,3050.827208
iteracion,18,4.748960,904.401654,3618.048219
iteracion,19,4.737696,906.551864,3626.650109
iteracion,20,4.751328,903.950917,3616.245051
iteracion,21,4.743072,905.524366,3622.539615
iteracion,22,4.739552,906.196889,3625.230034
iteracion,23,4.733536,907.348652,3629.837648
iteracion,24,4.744064,905.335052,3621.782266
iteracion,25,4.742336,905.664947,3623.102006
iteracion,26,4.747520,904.675983,3619.145669
iteracion,27,4.744608,905.231236,3621.366951
iteracion,28,4.737728,906.545751,3626.625654
iteracion,29,4.746784,904.816209,3619.706642
iteracion,30,4.808320,893.236568,3573.382423
iteracion,31,4.746656,904.840660,3619.804458
iteracion,32,4.744160,905.316671,3621.708733
iteracion,33,4.734592,907.146240,3629.027903
iteracion,34,4.739904,906.129610,3624.960886
iteracion,35,4.757440,902.789571,3611.599097
iteracion,36,4.758080,902.668154,3611.113373
iteracion,37,4.747680,904.645453,3619.023535
iteracion,38,4.742944,905.548855,3622.637584
iteracion,39,4.736992,906.686649,3627.189314
iteracion,40,4.767424,900.898934,3604.035628
iteracion,41,4.749792,904.243219,3617.414400
iteracion,42,4.782816,897.999705,3592.437295
iteracion,43,4.740960,905.927742,3624.153314
iteracion,44,4.764544,901.443514,3606.214215
iteracion,45,4.749056,904.383402,3617.975200
iteracion,46,5.337472,804.681941,3219.120673
iteracion,47,4.830720,889.094657,3556.812757
iteracion,48,5.445280,788.750484,3155.387069
iteracion,49,6.189664,693.893461,2775.912659
iteracion,50,6.160448,697.184238,2789.077374
iteracion,51,4.806432,893.587489,3574.786277
iteracion,52,4.811008,892.737513,3571.385959
iteracion,53,4.811232,892.695928,3571.219599
iteracion,54,4.806208,893.629068,3574.952615
iteracion,55,4.788832,896.871539,3587.924083
iteracion,56,4.821632,890.770465,3563.516806
iteracion,57,4.814080,892.167784,3569.106763
iteracion,58,4.827680,889.654492,3559.052369
iteracion,59,4.795616,895.602809,3582.848543
iteracion,60,6.063040,708.385142,2833.886460
iteracion,61,6.190048,693.850378,2775.740306
iteracion,62,5.351424,802.583970,3210.727769
iteracion,63,4.795616,895.602809,3582.848543
promedio,,4.931814,875.680557,3503.149807
min,,4.733472,693.850378,2775.740306
max,,6.190048,907.360900,3629.886647
total,,1407.454300,,
