iter,tiempo_ms,gflops,gbps_estimado,flops,bytes_leidos,bytes_escritos,bytes_totales,intensidad_ops_byte
0,4.758528,902.583128,3610.773226,4294967296,17179869184,2097152,17181966336,0.249969
1,4.745344,905.090790,3620.805099,4294967296,17179869184,2097152,17181966336,0.249969
2,4.826528,889.866843,3559.901875,4294967296,17179869184,2097152,17181966336,0.249969
3,4.833600,888.564891,3554.693433,4294967296,17179869184,2097152,17181966336,0.249969
4,5.149056,834.127135,3336.915830,4294967296,17179869184,2097152,17181966336,0.249969
5,5.075520,846.212263,3385.262240,4294967296,17179869184,2097152,17181966336,0.249969
6,5.077280,845.918929,3384.088761,4294967296,17179869184,2097152,17181966336,0.249969
7,5.558240,772.720743,3091.260279,4294967296,17179869184,2097152,17181966336,0.249969
8,4.806592,893.557703,3574.667120,4294967296,17179869184,2097152,17181966336,0.249969
9,4.817248,891.581130,3566.759861,4294967296,17179869184,2097152,17181966336,0.249969
10,4.824576,890.226910,3561.342321,4294967296,17179869184,2097152,17181966336,0.249969
11,4.867296,882.413378,3530.084376,4294967296,17179869184,2097152,17181966336,0.249969
12,5.570752,770.985171,3084.317143,4294967296,17179869184,2097152,17181966336,0.249969
13,4.813216,892.327938,3569.747460,4294967296,17179869184,2097152,17181966336,0.249969
14,5.213664,823.790572,3295.564531,4294967296,17179869184,2097152,17181966336,0.249969
15,5.022080,855.216831,3421.284911,4294967296,17179869184,2097152,17181966336,0.249969
16,5.626080,763.403163,3053.985408,4294967296,17179869184,2097152,17181966336,0.249969
17,4.822432,890.622669,3562.925551,4294967296,17179869184,2097152,17181966336,0.249969
18,4.813312,892.310170,3569.676378,4294967296,17179869184,2097152,17181966336,0.249969
19,4.829216,889.371545,3557.920442,4294967296,17179869184,2097152,17181966336,0.249969
20,4.810784,892.779102,3571.552334,4294967296,17179869184,2097152,17181966336,0.249969
21,4.822560,890.599069,3562.831137,4294967296,17179869184,2097152,17181966336,0.249969
22,4.854112,884.810067,3539.672305,4294967296,17179869184,2097152,17181966336,0.249969
23,5.326208,806.383679,3225.928459,4294967296,17179869184,2097152,17181966336,0.249969
24,4.747520,904.675983,3619.145669,4294967296,17179869184,2097152,17181966336,0.249969
25,5.232480,820.828222,3283.713684,4294967296,17179869184,2097152,17181966336,0.249969
26,5.470848,785.064259,3140.640368,4294967296,17179869184,2097152,17181966336,0.249969
27,4.830880,889.065170,3556.694794,4294967296,17179869184,2097152,17181966336,0.249969
28,4.812512,892.458526,3570.269875,4294967296,17179869184,2097152,17181966336,0.249969
29,4.818240,891.397512,3566.025301,4294967296,17179869184,2097152,17181966336,0.249969
30,4.832448,888.776722,3555.540860,4294967296,17179869184,2097152,17181966336,0.249969
31,4.827744,889.642717,3559.005264,4294967296,17179869184,2097152,17181966336,0.249969
32,5.136192,836.216291,3345.273474,4294967296,17179869184,2097152,17181966336,0.249969
33,5.168160,831.043800,3324.580985,4294967296,17179869184,2097152,17181966336,0.249969
34,4.821856,890.729063,3563.351178,4294967296,17179869184,2097152,17181966336,0.249969
35,4.812384,892.482225,3570.364683,4294967296,17179869184,2097152,17181966336,0.249969
36,4.839296,887.519056,3550.509582,4294967296,17179869184,2097152,17181966336,0.249969
37,4.807296,893.426882,3574.143771,4294967296,17179869184,2097152,17181966336,0.249969
38,4.830848,889.071050,3556.718316,4294967296,17179869184,2097152,17181966336,0.249969
39,4.826656,889.843282,3559.807622,4294967296,17179869184,2097152,17181966336,0.249969
40,5.166912,831.244509,3325.383919,4294967296,17179869184,2097152,17181966336,0.249969
41,5.462016,786.333693,3145.718724,4294967296,17179869184,2097152,17181966336,0.249969
42,4.819616,891.143078,3565.007441,4294967296,17179869184,2097152,17181966336,0.249969
43,4.834336,888.429656,3554.152428,4294967296,17179869184,2097152,17181966336,0.249969
44,5.116448,839.443176,3358.182588,4294967296,17179869184,2097152,17181966336,0.249969
45,5.018176,855.882143,3423.946483,4294967296,17179869184,2097152,17181966336,0.249969
46,5.325664,806.466060,3226.258021,4294967296,17179869184,2097152,17181966336,0.249969
47,4.823680,890.392266,3562.003824,4294967296,17179869184,2097152,17181966336,0.249969
48,4.816800,891.664007,3567.091413,4294967296,17179869184,2097152,17181966336,0.249969
49,4.821600,890.776367,3563.540418,4294967296,17179869184,2097152,17181966336,0.249969
50,4.825952,889.973056,3560.326781,4294967296,17179869184,2097152,17181966336,0.249969
51,4.844576,886.551764,3546.639944,4294967296,17179869184,2097152,17181966336,0.249969
52,5.475680,784.371511,3137.869037,4294967296,17179869184,2097152,17181966336,0.249969
53,5.132416,836.831521,3347.734693,4294967296,17179869184,2097152,17181966336,0.249969
54,4.821920,890.717260,3563.303959,4294967296,17179869184,2097152,17181966336,0.249969
55,5.544480,774.638454,3098.932057,4294967296,17179869184,2097152,17181966336,0.249969
56,4.824288,890.280056,3561.554933,4294967296,17179869184,2097152,17181966336,0.249969
57,4.832160,888.829695,3555.752779,4294967296,17179869184,2097152,17181966336,0.249969
58,4.828416,889.518925,3558.510036,4294967296,17179869184,2097152,17181966336,0.249969
59,4.813632,892.250859,3569.439104,4294967296,17179869184,2097152,17181966336,0.249969
60,4.822976,890.522200,3562.523624,4294967296,17179869184,2097152,17181966336,0.249969
61,5.092960,843.314575,3373.670074,4294967296,17179869184,2097152,17181966336,0.249969
62,5.481984,783.469486,3134.260498,4294967296,17179869184,2097152,17181966336,0.249969
63,4.817024,891.622523,3566.925453,4294967296,17179869184,2097152,17181966336,0.249969
